Texto,Etiquetado
@valeriasolang y que la pensión siga aumentamdo??,Negativo
@conny20_gomez @ronaldchambila @antu.haru23.hca @cruzpolicarpoveronica @olenka.ramcab Chicos????????,Positivo
@marketing.creator q raro porq arquitectura si se puede hacer intercambio académico es muy raro lq menciones yo q sepa puedes hacer intercambio y doble titulación de todas las carreras ........,Neutro
"@gabydelpilar3 Claro la acreditación CINDA respalda a los alumnos para el intercambio internacional y doble titúlación como lo mencionas eso esta bien y SINAES es quien acredita la carrera que estas llevando sea: arquitectura, ingieneria,etc.esta acreditación certifica la formación de calidad al culminar la carrera y respaldado por el Estado, sería bueno que también busquen esa acreditación para todas las carreras.",Neutro
"CINDA solo acredita que los alumnos pueden participar en los programas de intercambio de un semestre a universidades latinoamericanas, sería importante que acrediten las carreras profesionales que  ofrecen también, puesto que con ello nos aseguramos que la carrera elegida tenga el respaldo del Estado Peruano y la garantía de que la formación es de calidad, así los egresados tengan la preferencia a la hora de insertarnos al ámbito laboral culminada su carrera .  Atte: Estudiante de Administración y Marketing. Sede Sjl que por cierto carrera que no esta acreditada por SINAES.",Neutro
La upn será vendida?,Negativo
UPN es un excelente casa de estudios que se preocupan,Positivo
@raquel.ifo gracias amiga ??,Positivo
@maitezr  te Vi felicidades amiga por tu logro.,Positivo
Deberían acreditar las carreras,Negativo
Ya pero nos venderán?,Negativo
Y la acreditación de las carreras para cuando?,Negativo
Orgulloso ??,Positivo
??????????????????????,Positivo
Excelente ??,Positivo
Nos van a vender ????,Negativo
??????????????????????????????,Positivo
??,Positivo
Eliminen los virtuales,Negativo
"Te escogí como primera opción para mi  educación, y ahora solo siento indignación.",Negativo
Si la upc no ne representa que mal @upcedu  @generacion_upc,Negativo
Tarde,Negativo
"Ten empatía, escucha a tu alumnado, haz algo, fomenta aquellos valores anclados al progreso de los que tanto hablan en sus cursos, exígete como exiges a tu alumnado, innova por ti misma, UPC",Negativo
@upcedu,Negativo
Por este y más motivos es que en cada encuesta coloco que jamás recomendaría UPC!,Negativo
Tu hermana @upn  ya suspendió 2 días ?????? que estás esperando ???!!!!,Negativo
-->Se recolectó firmas para que la UPC se pronuncie,Negativo
Aplacen las clases ??,Negativo
????????????????????,Negativo
En otras palabras: no abran más universidades para tener más alumnos y más plata v:,Negativo
Que falta de empatía hacia las personas que estan protestando por los derechos de todos. No tienen consideración alguna...,Negativo
Por qué son tan inconscientes ?! Hasta la UPN APLAZÓ LAS CLASES POR QUÉ NO LA UPC?!!!!,Negativo
Decepcionante.,Negativo
"Siento opresión y falta de  coherencia en el discurso que suele ofrecer mi universidad. Por un lado, dicen estar a favor del desarrollo del país, de la libertad de expresión; y por otro lado, emiten un pronunciamiento súper tardío que una vez más ignora a su propia comunidad estudiantil que les solicita mayor comprensión y representación. Estamos estudiando mientras nuestros amigos están arriesgando su vida por nuestro país. No nos escuchan; y con ello nos hacen sentir como simples máquinas de consumo. Retráctate UPC, muestra interés y solidaridad por lo que ocurre en nuestro país. Nos duele tu indiferencia. No merecemos esa representación....APÓYANOS, para poder apoyar más.",Negativo
VERGÜENZA,Negativo
??????????????,Negativo
TARDE !,Negativo
"Debería ser ""Respuesta a la opinión pública"", porque se pronuncian después de las críticas.",Negativo
Babosos,Negativo
Ah pero para cobrar!!,Negativo
Pfff porfin un poco más pedían invitación,Negativo
Zzzzzzz,Negativo
Que o sea si habrá clase? Csm,Negativo
"UPC DOS DIAS NO ES SUFICIENTE PARA PROCESAR DOS MUERTES, 40 DESAPARECIDOS Y UNA CRISIS NACIONAL!!!! ENTIENDE QUE ESTO NOS AFECTA NO SOLO PSICOLÓGICAMENTE SINO TAMBIEN FÍSICAMENTE, NO PUEDO SER INDIFERENTE A MI PAÍS Y A MIS HERMANXS",Negativo
Ya era hora :/,Negativo
LLEGAN AL PINCHO @upcedu @generacion_upc ¿POR QUÉ NO SE COMPORTAN COMO UNA UNIVERSIDAD DE VERDAD?,Negativo
"TARDE y encima TIBIOS , que vergüenza UPC",Negativo
Pronunciándose tarde tal cual las ratas del gobierno ?????? tan en nada,Negativo
Les chupa un huevo,Negativo
Muy tarde ! Ya hablan cuando está todo casi consumado y el GOLPISTA renunció. Les falta más valor y empatía,Negativo
#upcbrillasportuausencia,Neutro
Muy tarde,Negativo
Cuando demuestran que sus fines SI SON LUCRATIVOS.,Negativo
Tibios !,Negativo
#UPCAPLACENESTASEMANA,Neutro
No respaldas en nada!!!,Negativo
"Upc, exígete, innova? Ahhh, sí, EXIGEN QUE PAGUEMOS AL DÍA e INNOVAN con los tremendos aumentos en las pensiones cada año. Gracias por nada ???? me avergüenzan.",Negativo
CEROOOO EMPATÍA ????????,Negativo
Un montón de texto sin un mensaje claro,Negativo
Que tibia fuiste UPC!!,Negativo
"Ese texto no dice nada señores, cuando sacan un comunicado pronunciándose por las denuncia de acoso a sus profesores? ??",Negativo
"Dos días de “luto”, ustedes son una vergüenza.",Negativo
Ya pero cuál es tu postura? Dónde están tus disculpas por no haberte pronunciado todos estos días? Vergüenza.,Negativo
????????????,Positivo
"Se pasaron como van a subir las pensiones de verano con todo lo ocurrido , nadie dice que la bajen pero tengan consideración y déjenla como estaba siquiera",Negativo
"Por fin hablaron, mudos",Negativo
Saben si habrá descuento en pensiones por el estado de emergencia?,Negativo
Golpistas,Negativo
"como todas las universidades privadas, están detrás de la plata, es lo único que les interesa, no les interesa los alumnos ni los trabajadores. SON UNA VERGUENZA",Negativo
"@upcedu y para variar de lo peor tu contacto Web y todos los canales de atención, que pésimo servicio",Negativo
UPC NO ME REPRESENTAS,Negativo
Un texto que no dice nada.,Negativo
No me representas,Negativo
esto es algun tipo de marketing o que? pésimo,Negativo
?? debería dudar?,Negativo
??????,Negativo
"Demasiado tarde, poca empatía, tibios como siempre.",Negativo
Cuando ya se murieron dos jóvenes recién aparecen,Negativo
"Tibia como siempre
HAY ALUMNOS DESAPARECIDOS CARAJO Y USTEDES COMO SI NADA",Negativo
"Como que un poco tarde no? Por qué no siguen el ejemplo de la @pucp o @udepiura en suspender las clases por esta semana? Se hizo para el mundial y con mayor, se debería hacer ahora! Un poco mas de empatia, por favor.",Negativo
MUY TARDE! Ahora se suben al coche? QUE DECEPCIÓN!,Negativo
"Que vergüenza estudiar en la UPC, una ""universidad"" que dice formar líderes para la sociedad y no se involucra con la sociedad peruana pese a la crisis que estamos viviendo. Esta no es una universidad es una empresa que solo piensa en lucrar.",Negativo
Un mensaje que no demuestra nada ! Lastima Upc,Negativo
RECIÉN? CUANDO YA HAY 2 MUERTOS. ME DA VERGÜENZA SER ALUMNA. ESTE PAÍS NO NECESITA MÁS TIBIOS,Negativo
Vergüenza de comunicado. ??,Negativo
Decepcionada de mi universidad ????,Negativo
@gabylopez0704 #UPCbrillasportuausencia #upcmedueles,Neutro
"Pero pra emitir avisos amenazantes de expulsión y sanción según el bendito reglamento, para eso si no les tiembla la mano verdad? Quienes son los que tipean esto?  Hablar contra las autoridades da tanto miedo? Debe ser, ruego a Dios, que cuando llegue mi hora de hablar contra los contratistas corruptos, no me tiemble la voz ni la voluntad",Negativo
"QUÉ FÁCIL ES PRONUNCIARSE AHORITA NO? Les tomó DOS VIDAS, DECENAS DE HERIDOS Y DESPARECIDOS. Cómo pueden formar a gente!??! Aprendan de la @pucp que desde el DÍA UNO SE MANIFESTÓ. Tibios.",Negativo
UPC TE VAS EN FLORO Y PALABRAS VACÍAS.,Negativo
@karlas.diary1 ????,Negativo
Ese anuncio está más vacío que nuestro trabajo ?? @lio_oms,Negativo
"Qu texto tan tibio! Qué vergüenza para pronunciarse ante estas situaciones, pero para cobrar al toque lo hacen.  Vergüenza de ser egresada",Negativo
Me decepcionas UPC!!,Negativo
Más frió que los textos de mi ex #upcbrillasportuausencia,Negativo
"Deberian dar minimo 1 semana, muchos estamos protestando y necesitamos ese tiempo",Negativo
Tu comunicado no me dice NADA,Negativo
Decepcionada ??????,Negativo
Lo que debieron manifestar es el respaldo a sus alumnos que han tenido el valor de salir a las calles a luchar x sus ideas y defender al pais,Negativo
"Por qué están expulsando a los alumnos que dan su opinión/indignación acerca de lo que está pasando en nuestro país??? No hay libertad de libre expresión para ellos! UPC, UNIVERSIDAD QUE VIOLA LOS DERECHOS ??????",Negativo
"Insensibles. Este comunicado no muestra nada! Que vergüenza. Mucho que aprender de la @pucp
Muy triste que mi casa de estudio tenga una actitud tan deplorable.",Negativo
#upcbrillasportuausencia,Neutro
#tibios,Neutro
"En pocas palabras, sigue estudiando, paganos y no jodas.",Negativo
Horrible que no apoyen a SUS estudiantes que han ido a marchar!!! Porque sera no???...,Negativo
"Para opiniones, tarde; para cobrar, rapiditos! @upcedu",Negativo
No dice nada tu mensaje ????,Negativo
Recién?????,Negativo
Tibios,Negativo
"Antero dijo que no sabía nada, ustedes al parecer, tampoco.
Que gran manera de lavarse las manos UPC",Negativo
????????????????????,Negativo
He tenido que firmar una petición para que la universidad se pueda pronunciar y aún así que ajena se siente a todo lo que está pasando el país. Deja mucho deja mucho que desear de sus directivos que al parecer viven en una realidad distinta. Nisiquiera como parte de la comunidad universitaria. Pena de pertenecer a una institución así.,Negativo
xd,Neutro
#laupcnomerepresenta,Neutro
"Me parece incoherente, si no comprenden que los jóvenes, a los cuáles forma con pensamiento crítico han puesto su valentía y dignidad como importantes, y ahora no quieren entender que algunas tareas académicas no han podido culminarlas. El doble discurso solo demuestra que no vamos bien como sociedad",Negativo
"Mucho floro, poco aportex2",Negativo
Meh...que triste esto.,Negativo
@upcedu no me representas,Negativo
@generacion_upc no me representas,Negativo
Y la empatia? Se pueden preocupar por una vez por la salud mental de sus alumnos?,Negativo
Decepcionante.,Negativo
Váyanse a la mierda,Negativo
"Claro, pero si pueden cancelar clases cuando hay partidos de fútbol “importantes”. ESTO ES REALMENTE IMPORTANTE!!!",Negativo
Tibios,Negativo
no me representan,Negativo
Empresa de mr-d,Negativo
"Y donde estuviste cuando todo quemaba? Demasiado tarde UPC, podrás ser el alma mater de muchos pero decepciones. Tibios",Negativo
??????????,Negativo
?????,Negativo
Y cuando fue el Mundial sí suspendían clases no??,Negativo
PETICIÓN PARA QUE LAS CLASES SE APLACEN ??https://docs.google.com/forms/d/e/1FAIpQLSd4TETGB8OqHof1wbATl01CfHDXRmqWAyvlUx_fnsF_XRqD-Q/viewform,Neutro
#decepciónupc demasiado tarde!!!,Negativo
UNA UNIVERSIDAD DONDE PREFIERE CANCELAR CLASES POR PARTIDOS DE FÚTBOL.,Negativo
Donde estuvieron hace 7 meses ?,Negativo
MUY TARDE!,Negativo
"Luego sigue la UPC ,esperen nomas luego les toca a uds",Negativo
LADRONES HSDP,Negativo
Ya es tarde UPC... 5 días tarde,Negativo
Gracias por nada,Negativo
??????????????,Negativo
Aplacen las clases! Es imposible concentrarse ahora,Negativo
Para nada empáticos.,Negativo
"Hagan algo de verdad, tibios",Negativo
"Hizo falta muertes para que se pronuncien, no son más que una EMPRESA del montón que solo vela por sus intereses. No les importan sus alumnos, solo sus bolsillos. Despreciables.",Negativo
"@__valeryc__ totalmente de acuerdo, un texto vacío ??????",Negativo
Un comunicado donde no dice nada y todavía es publicado tarde. Gracias upc por ser unos tibios.,Negativo
Muy tarde,Negativo
A lo lejos se ve y se siente su indiferencia!!!,Negativo
"O sea... cancelaron casi todas las clases cuando Perú jugó en el mundial Y EN PLEA CATÁSTROFE NACIONAL dan un comunicado que no muestra empatía con nosotros? 
Gracias por nada.",Negativo
"Cuando el barco ya está hundido y cuando todos los medios lo están cubriendo, llega con demora este tibio comunicado",Negativo
Donde está la empatía por sus alumnos??,Negativo
Tibio,Negativo
Tibias de mierda,Negativo
Insensibles,Negativo
Su comunicado me decepciona.,Negativo
"FLORO MONSEE! 

#vergüenzaupc",Negativo
triste,Negativo
ASÍ COMO ME COBRAS 3000 Lucas por un curso déjame protestar por mis derechos.,Negativo
Mejor no digan nada,Negativo
#UPCnoMeRepresentas,Neutro
Pa eso???,Negativo
"No me siento representada por mi universidad, hablas demasiado tarde solo te sumas cuando merino ha renunciado. Un Asco tus principios democráticos.",Negativo
"A los que se encargan de atención psicopedagógica en la u ¿Podrían informar a los responsables del comunicado cómo la coyuntura actual afecta a sus alumnos? digo porque parece que las autoridades pertinentes no tienen en cuenta la relación entre la situación actual y las emociones que trae consigo esto, indignante",Negativo
"Hagamos una cadena de ""ese chico pude ser yo"", a ver si ablanda lo que llaman corazón",Negativo
"Indignante! Cuanta hipocresía en este texto! Ese chico pude ser yo, si morimos no vas a tener nuestro dinero, ya que es lo único que te preocupa.",Negativo
¿Como se supone que terminemos clases con sus altos estándares académicos en medio de una crisis que nos angustia a todos? ¿Es tan terrible aplazar unos días el ciclo para brindar un espacio para protestar y expresarnos?,Negativo
Tibios??,Negativo
QUE ASCO!,Negativo
"Solo les estamos pidiendo unos días para las entregas, estamos luchando pra que ustedes tengan tranquilidad también!",Negativo
Se necesita un apoyo más real @upcedu. Mire a sus alumnos que luchan por la democracia. Su respaldo es importante en esta coyuntura....,Negativo
"Hay que salir a marchar.... Vamos upc respalda a tus alumnos, muchos de nosotros está saliendo a marchar",Negativo
Que bueno que no pertenezco a esa cagada de universidad,Negativo
??,Negativo
COMO SIEMPRE TARDE Y CON MUCHA CARENCIA DE EMPATÍA @upcedu,Negativo
Mucho texto,Negativo
oportunistas,Negativo
tienen que morir hermanos peruanos para que manden un “comunicado”?,Negativo
Las palabras necesitan ser acompañada de acciones !!!,Negativo
Son una verdadera m-rd,Negativo
No valen nada en serio,Negativo
Solo les interesa el dinero,Negativo
"Lastima das UPC, que pena que te hagas de la vista gorda por tus intereses personales y económicos. Me siento avergonzada de mi casa de estudios. Muy tarde!",Negativo
Pospongan clases,Negativo
Aplacen las clases si igual pagamos diciembre,Negativo
Tu comunicado de mr-d no dice nada,Negativo
Muy tarde upc,Negativo
Mi universidad es una decepción??. Qué triste su falta de empatía ante esta situación.,Negativo
Un poco tarde ...,Negativo
Mejor no hagan ningun comunicado,Negativo
Algo tarde manitos!,Negativo
Tarde!,Negativo
"Que vergüenza me das @upcedu todo lo que dices YA SABEMOS, tibios, nunca hacen nada y si lo haces es tarde y así que caso tiene? Que vergüenza me da esta empresa.",Negativo
"Hay gente desaparecida que forma parte de nuestra comunidad universitaria y sólo envían ""buenos ánimos y apoyo"", tibio UPC",Negativo
Pecho frío,Negativo
Dan asco,Negativo
"La educación superior está de luto. No seas indiferente, upc.",Negativo
"Disculpen la inconveniencia, estamos manifestándonos por nuestros derechos como ciudadanos peruanos. Solicitamos que se aplacen las clases y los exámenes finales por una semana.",Negativo
Lo único que hacen es cambiarle el color al loguito y pretender que ya hicieron suficiente. La indiferencia que muestran es INCREÍBLE!!! Vergüenza su falta de empatía,Negativo
"Pospongan sus clases!! Como alumna PUCP mi universidad se preocupa por la salud mental de los alumnos y dio paso al paro universitario, si les importa un poco la salud mental de sus alumnos y velan por fomentar la reflexión y la lucha por los derechos den paso al paro universitario!! No sean indiferentes, no ignoren a sus alumnos.",Negativo
Una empresa más que no hizo nada por el Perú ni su población,Negativo
Decepcionada de mi alma mater,Negativo
TUVIERON QUE MORIR 2 DE LOS NUESTROS para que te pronunciaras! QUE ASCO,Negativo
UPC estos jóvenes héroes tienen nombre y se llaman Inti Sotelo Camargo  y Jack Bryan Pintado Sánchez!,Negativo
@upcedu PALTEAS ??,Negativo
"Escuchen a sus alumnos, estamos saliendo q marchar por nuestro país! Mayor consideración @upcedu . Aplacen las clases !!",Negativo
????,Negativo
HORRIBLE,Negativo
"Estuve resolviendo 2 exámenes de mierda, con mi estabilidad mental por suelo, mientras asesinaban a mis hermanos que salieron a marchar POR MI. Y recién te pronuncias?",Negativo
"@upcedu si estás a favor de la democracia , danos la facilidad para ejercer nuestro derecho de protesta en este tiempos tan turbios",Negativo
TIBIOS,Negativo
"Buen mensaje pero y si piensan ayudar a los estudiantes que fueron a manisfestarse? Ellos también son parte de la UPC, ya sean los de parte de la brigada, manisfestantes virtuales y físicos",Negativo
Puro texto????????,Negativo
"No dicen nada específico. Frío de fríos, tardones e insensibles con el sentir de sus estudiantes. UPC no me representas.",Negativo
Pa eso mejor no publiquen ni mrd,Negativo
Mejor no publicaban nada,Negativo
Suspendan clases,Negativo
"DEMASIADO TARDE UPC, MUUUUY TARDE. Qué lástima.",Negativo
Son puro texto,Negativo
"Pospongan las clases, lo exigimos, hoy uno de nosotros no regreso a casa ????",Negativo
¿Es en serio? Esta pronunciación vale lo mismo a no haberlo hecho.,Negativo
@upcedu  oe que fue manin para un partidito haces que falten todos y por dos muertos no haces ni una vigila y eso que uno de ellos es alumno suyo que pena das upc dios cuanto te habran pagado para que te calles y calles a tu alumnado pena das,Negativo
"Sinceramente UPC me siento indignado ya que mi universidad, mi alma mater no tomo una postura a diferencia de otras universidades, desde el comienzo se necesito el respaldo, el apoyo, sin embargo no sucedió nada. ????",Negativo
Este comunicado es un saludo a la bandera. Que vergüenza,Negativo
Asco dan!!!!,Negativo
@vana13a la UPC no me representa,Negativo
@lesly.lr  la UPC opina tarde que tristeza ...,Negativo
UN TEXTO QUE ME DA VERGÜENZA. UPC NO ME REPRESENTAS. COMO PUEDEN SER TAN INDIFERENTES. Los alumnos que tienen están luchando por su país y ustedes solo escriben una webada que no tiene nada de valor. ESTAMOS HARTOS.,Negativo
Soy egresada de UPC pero para tibio mi té.,Negativo
"Hay estudiantes de su universidad desaparecidos. Por favor mas solidaridad con ellos, con los estudiantes heridos hospitalizados y con todos los que aún seguimos saliendo a la calle.",Negativo
"Me deja un sin sabor este comunicado... no dice nada son palabras sin fondo... Mi Alma Mater y todo, pero para estas cosas se quedan muy cortos... demasiado tarde la pronunciación ... ??",Negativo
Mucho texto,Negativo
@franco.isa JAJAJAA ME CAGASTE MANO,Neutro
Q bueno q ya no estudio en esa basuraa??,Negativo
"SUS ALUMNOS DE EXPONEN EN LAS MARCHAS, POR ELLO NO PUEDEN ENTREGAR TRABAJOS, O NO SE ENCUENTRAN EN LAS CONDICIONES PARA REALIZARLOS. NO SUSPENDEN LAS CLASES UNA SEMANA POR ELLOS, AL PARECER SOLO LOS VEN COMO INGRESOS Y NO COMO CUIDADANOS.",Negativo
Muy tarde @upcedu,Negativo
4 DIAS MUY TARDEEEEEEEEEE,Negativo
Sean empaticos con el cobro de las pensiones en ya coyuntura tan difícil.,Negativo
Vergüenza,Negativo
??,Negativo
"COMO OTRAS UNIVERSIDADES POSPONEN CLASES!!!AL MENOS 1 SEMANA Y SE COMIENZA EL 23 . HAGAN ALGO. Salimos a marchar para el país y no hay apoyo!!! No tenemos mentalidad en estos momentos de hacer trabajos. 
Siempre tarde UPC.",Negativo
CREO QUE TU MENSAJE NEUTRAL NO ES LO QUE ENSEÑAS UPC! Nos formas para ir encontra del sistema y eres indiferente! Siguen las clases como si nada mientras que nuestros compatriotas y compañeros salimos a las calles!!,Negativo
UN TEXTO QUE NO DICE NADA. X2,Negativo
????????????????????????????????????????????????????????????????????????????????????????????????????????????,Negativo
"Upc no me representas!
Suspende las clases para ir a dar mi tiempo a mi patria y no estar esperando dar un control calificado! ???? ??????",Negativo
DEMAAIADO TARDEEEE,Negativo
"YA, I? ESTE TEXTO NO DICE NADA???",Negativo
Un hueveo tu comunicado,Negativo
??,Negativo
Al menos Hagan TODOS LOS CONTROLES RECUPERABLES en estas fechas de crisis politica!!!!!!! HAGAN ALGO,Negativo
Mejor ya no saques nada UPC,Negativo
??????????????????????????????????,Negativo
"Lo mismo de siempre, lanzando un comunicado tardío, con el mismo floro y siempre después de la presión de los alumnos ???????",Negativo
UNA UNIVERSIDAD QUE BRILLOCPOR SU Ausencia aprendan de la CATO,Negativo
"Dos muertes tuvieron que esperar, 2 peruanos que cayeron luchando por nuestra democracia, luchando por ustedes también y no dijeron nada. Que decepción que esperen tanto para pronunciarse, no creo que estos sean sus verdaderos valores y espero que pronto me den la razón para seguir creyendo en ustedes",Negativo
"UN TEXTO VACÍO, no nos repriman con su reglamento y el proselitismo político, DEBEN APOYARNOS COMO CASA EDUCATIVA.",Negativo
PAL CULO,Negativo
Pospongan entrega de trabajos!!!,Negativo
MUY TARDE UPC,Negativo
ESO LES PARECE REALMENTE UN APOYO? Este comunicado no dice nada.,Negativo
"Después de dos muerte, de tanta reprensión. Llego muy tarde su falso sentir y pésame.",Negativo
Muy tarde,Negativo
"""Debate de ideas"" dicen estos sinvergüenzas. Entre líneas, una vez más, desacreditan las protestas. Infelices.",Negativo
Muy tarde UPC,Negativo
"Por favor, comiencen a tener consideraciones con los todos los estudiantes. No he visto que hayan apoyado publicando a todos tus estudiantes desaparecidos. No es posible que después de casi una semana, recién se pronuncien.",Negativo
??????,Positivo
